City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yeppoon,-23.1333,150.7333,22.88,87,100,5.94,AU,1711325165
83,kharkiv,50.0,36.25,6.55,75,99,3.73,UA,1711325340
84,ploudalmezeau,48.5333,-4.65,9.49,91,20,4.12,FR,1711325457
85,east london,-33.0153,27.9116,23.61,79,98,10.19,ZA,1711325458
86,senador jose porfirio,-2.5908,-51.9542,24.83,93,97,0.99,BR,1711325458
87,longyearbyen,78.2186,15.6401,-20.09,77,0,1.54,SJ,1711325459
88,kapuskasing,49.4169,-82.4331,-8.21,89,100,2.07,CA,1711325459
89,peniche,39.3558,-9.3811,14.6,91,100,7.08,PT,1711325460
90,kisangani,0.5167,25.2,21.82,98,60,0.68,CD,1711325460
91,carbonear,47.7332,-53.2148,9.79,93,100,11.6,CA,1711325462
92,olonkinbyen,70.9221,-8.7187,-5.23,58,100,6.31,SJ,1711325462
93,tommot,58.9564,126.2925,-10.96,86,92,1.65,RU,1711325464
94,barcelos,41.5388,-8.6151,12.08,70,10,1.94,PT,1711325464
95,mabaruma,8.2,-59.7833,26.06,76,89,2.95,GY,1711325465
96,aykhal,66.0,111.5,-23.78,99,99,3.19,RU,1711325184
97,tchintabaraden,15.8969,5.7985,25.19,9,98,5.39,NE,1711325466
98,newman,37.3138,-121.0208,18.13,50,75,7.6,US,1711325467
99,kruisfontein,-34.0033,24.7314,23.82,76,100,1.09,ZA,1711325468
100,santa isabel,-23.3156,-46.2214,19.84,98,100,1.22,BR,1711325468
101,port hedland,-20.3167,118.5667,26.03,50,35,3.6,AU,1711325468
102,richards bay,-28.783,32.0377,21.82,93,91,2.54,ZA,1711325469
103,howard springs,-12.497,131.047,29.37,96,10,2.2,AU,1711325470
104,bredasdorp,-34.5322,20.0403,16.39,86,43,1.98,ZA,1711325470
105,iqaluit,63.7506,-68.5145,-10.17,78,100,6.71,CA,1711325470
106,santiago de cao,-7.9589,-79.2392,22.07,88,97,5.14,PE,1711325471
107,yellowknife,62.456,-114.3525,-4.69,35,39,7.15,CA,1711325334
108,taro,-8.3862,115.28,24.0,86,98,0.15,ID,1711325471
109,college,64.8569,-147.8028,8.97,36,40,2.06,US,1711325471
110,uturoa,-16.7333,-151.4333,28.8,72,16,3.62,PF,1711325474
111,la'ie,21.6477,-157.9253,27.98,65,63,4.02,US,1711325475
112,ust-tsilma,65.441,52.1498,-30.22,100,24,0.89,RU,1711325476
113,avarua,-21.2078,-159.775,31.03,74,20,6.17,CK,1711325476
114,palikir - national government center,6.9248,158.1611,30.47,74,100,5.14,FM,1711325477
115,radviliskis,55.8167,23.5333,1.03,100,40,3.09,LT,1711325479
116,serowe,-22.3833,26.7167,17.06,87,1,4.49,BW,1711325481
117,santanyi,39.3546,3.1291,13.15,76,97,6.27,ES,1711325481
118,utrik,11.2278,169.8474,27.1,74,41,8.91,MH,1711325481
119,peterhead,57.5058,-1.7981,1.36,76,65,1.54,GB,1711325485
120,paratinga,-12.6906,-43.1842,24.97,44,90,1.76,BR,1711325486
121,kenai,60.5544,-151.2583,7.05,70,100,5.14,US,1711325486
122,el calafate,-50.3408,-72.2768,11.87,86,100,1.46,AR,1711325230
123,leava,-14.3,-178.1667,29.55,71,91,2.54,WF,1711325488
124,bilibino,68.0546,166.4372,-20.0,86,47,1.55,RU,1711325488
125,obo,5.3998,26.4869,26.45,49,98,1.43,CF,1711325489
126,alice springs,-23.7,133.8833,19.01,86,100,4.63,AU,1711325489
127,hasaki,35.7333,140.8333,12.94,83,100,7.28,JP,1711325490
128,san antonio de pale,-1.4014,5.6325,28.03,79,75,2.1,GQ,1711325492
129,mata-utu,-13.2816,-176.1745,29.79,74,100,4.61,WF,1711325492
130,qa'en,33.7265,59.1844,15.89,54,95,2.37,IR,1711325492
131,chonchi,-42.6128,-73.8092,13.56,95,96,0.2,CL,1711325493
132,polyarnyy,69.1989,33.4478,-16.46,88,100,3.04,RU,1711325493
133,acarau,-2.8856,-40.12,25.9,87,100,3.42,BR,1711325313
134,kiunga,-6.1219,141.2906,29.39,72,99,0.61,PG,1711325493
135,gualaceo,-2.9,-78.7833,16.18,91,100,1.28,EC,1711325494
136,ancud,-41.8697,-73.8203,12.97,86,99,1.85,CL,1711325496
137,nuuk,64.1835,-51.7216,3.34,65,100,11.32,GL,1711325497
138,lamu,-2.2717,40.902,27.98,80,79,5.16,KE,1711325497
139,hermanus,-34.4187,19.2345,18.78,68,3,3.11,ZA,1711325498
140,caluula,11.9661,50.7569,26.26,70,67,5.92,SO,1711325498
141,port lincoln,-34.7333,135.8667,16.84,64,5,2.08,AU,1711325498
142,port macquarie,-31.4333,152.9167,25.5,60,23,3.16,AU,1711325499
143,atafu village,-8.5421,-172.5159,29.4,73,11,4.42,TK,1711325499
144,sur,22.5667,59.5289,27.08,48,1,4.39,OM,1711325499
145,chibougamau,49.9168,-74.3659,-14.21,47,0,0.0,CA,1711325500
146,tambacounda,13.7539,-13.7586,29.32,21,98,3.43,SN,1711325500
147,ponta delgada,37.7333,-25.6667,15.4,77,75,6.69,PT,1711325502
148,sitka,57.0531,-135.33,6.94,70,100,8.23,US,1711325502
149,stanley,54.868,-1.6985,3.4,90,20,0.51,GB,1711325464
150,novyy urgal,51.0736,132.5642,-13.73,81,25,0.27,RU,1711325506
151,kayangel,8.0823,134.7173,28.25,84,69,6.37,PW,1711325507
152,westport,41.1415,-73.3579,5.9,48,0,3.6,US,1711325234
153,aragarcas,-15.8975,-52.2508,25.89,78,98,0.63,BR,1711325507
154,motygino,58.1831,94.7592,-2.34,97,100,4.47,RU,1711325508
155,whitehorse,60.7161,-135.0538,2.85,83,71,3.69,CA,1711325508
156,vilyuchinsk,52.9306,158.4028,-1.85,90,100,1.12,RU,1711325509
157,thunder bay,48.4001,-89.3168,-3.05,93,100,3.6,CA,1711325430
158,urengoy,65.9667,78.3667,-29.04,90,6,4.33,RU,1711325511
159,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,90,75,2.0,RU,1711325511
160,roosevelt,33.9668,-103.4505,14.93,24,80,15.48,US,1711325513
161,akureyri,65.6835,-18.0878,-11.28,98,97,1.04,IS,1711325513
162,kodiak,57.79,-152.4072,4.73,93,100,2.57,US,1711325513
163,tazacorte,28.629,-17.9293,18.54,84,0,8.23,ES,1711325514
164,ishinomaki,38.4167,141.3,10.22,61,88,2.38,JP,1711325515
165,grande prairie,55.1667,-118.8027,1.45,44,80,1.89,CA,1711325515
166,yaren,-0.5472,166.916,27.96,76,86,1.61,NR,1711325484
167,viedma,-40.8135,-62.9967,17.31,62,69,2.97,AR,1711325516
168,shahriar,35.6596,51.0593,17.16,45,100,6.02,IR,1711325517
169,daru,-9.0763,143.2092,30.09,69,32,1.97,PG,1711325518
170,keflavik,64.0049,-22.5624,-0.76,69,0,6.17,IS,1711325518
171,greymouth,-42.4667,171.2,15.77,84,85,7.13,NZ,1711325521
172,pyinmana,19.7333,96.2167,20.86,37,8,1.28,MM,1711325521
173,kitakata,37.65,139.8667,12.26,61,91,0.33,JP,1711325522
174,ha'il,27.5219,41.6907,12.01,66,0,10.29,SA,1711325522
175,nar'yan-mar,67.6713,53.087,-29.94,100,55,1.34,RU,1711325523
176,melfi,40.9965,15.6514,4.77,93,15,1.8,IT,1711325523
177,kristiansund,63.1115,7.732,0.36,93,100,2.06,NO,1711325524
178,ndele,8.4109,20.6473,26.22,46,96,0.6,CF,1711325524
179,dunedin,-45.8742,170.5036,14.89,78,91,4.02,NZ,1711325286
180,hithadhoo,-0.6,73.0833,29.39,72,83,4.43,MV,1711325524
181,mount pearl,47.5166,-52.7813,9.07,93,100,4.92,CA,1711325291
